Pre-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Label
6.0,7.2,7.4,8.6,9.1,8.0,8.1,6.4,0
19.5,21.8,22.35,25.5,26.1,26.9,22.8,31.7,1
131.4,131.5,135.4,131.4,132.8,128.8,128.4,135.45,1
8.15,10.8,11.85,9.55,14.5,10.3,10.8,11.2,0
4.94,6.05,7.0,5.9,8.1,4.0,6.3,6.1,0
8.6,9.5,9.5,9.5,9.5,6.5,9.5,8.9,0
10.8,10.8,10.5,10.8,10.8,9.2,9.1,9.0,0
3.3,6.6,3.8,5.7,6.5,3.4,4.7,2.5,0
6.6,7.35,7.32,7.44,8.1,8.3,8.8,10.65,0
30.48,32.01,32.81,39.36,41.75,39.83,39.9,41.0,1
80.67,80.13,81.65,84.05,94.14,95.0,96.2,97.5,1
4.6,4.9,3.9,4.6,5.0,5.0,4.4,4.7,0
13.1,12.2,12.85,13.1,12.9,12.85,13.15,12.07,0
9.07,9.27,9.39,9.47,9.61,9.85,7.43,8.48,0
16.75,20.0,19.9,21.1,22.2,21.15,21.7,21.1,0
62.3,73.6,83.3,90.6,93.7,97.8,25.97,17.0,0
15.7,15.9,16.6,15.5,17.1,12.2,9.9,10.3,0
69.5,79.1,87.9,95.0,100.7,103.4,65.55,28.85,1
8.4,8.5,9.6,9.8,8.3,6.3,4.9,5.4,0
6.4,13.5,8.6,7.7,10.0,8.0,7.1,11.0,0
6.3,5.9,5.93,12.1,6.36,6.65,8.6,7.95,0
15.5,21.35,20.75,21.1,18.6,19.9,8.9,14.4,0
7.9,13.5,14.1,13.5,7.2,8.3,8.0,8.1,0
41.78,42.84,47.14,50.06,54.39,52.91,53.66,57.18,1
14.34,14.78,12.47,8.88,9.99,9.13,9.88,9.77,0
22.7,32.5,43.8,33.45,27.1,21.0,44.0,28.06,1
48.06,48.22,48.06,46.59,48.81,49.08,49.14,50.05,1
9.3,11.8,11.6,11.6,11.2,9.3,12.3,12.0,0
7.2,12.1,7.5,7.9,7.0,5.6,7.9,7.5,0
13.85,15.75,14.55,17.85,12.8,14.5,16.15,20.0,0
8.0,8.75,8.75,8.8,8.9,9.15,9.25,9.4,0
22.0,23.85,21.75,24.8,21.15,19.5,27.55,20.65,0
49.69,49.69,49.75,49.25,57.69,48.65,48.65,48.0,1
18.8,19.6,24.8,25.4,27.9,27.0,7.05,5.25,0
38.45,39.0,39.0,40.0,40.85,41.2,41.95,41.65,1
22.65,24.1,20.0,23.55,23.5,20.2,22.5,23.9,0
32.78,34.65,38.18,40.88,42.18,42.18,42.3,43.0,1
36.18,35.83,35.38,35.38,34.89,36.48,34.28,34.78,1
16.8,16.8,6.2,7.0,6.8,15.0,12.0,7.2,0
23.75,24.25,25.5,25.75,28.0,28.0,28.67,29.85,1
34.25,34.8,35.8,37.5,39.0,38.5,39.5,40.0,1
30.5,30.5,29.6,29.22,29.66,27.6,33.5,29.9,1
57.3,58.7,63.1,66.9,75.8,75.2,85.7,87.3,1
11.5,11.5,8.1,7.5,11.5,11.5,10.1,7.1,0
4.5,5.2,8.5,6.1,5.0,2.7,4.8,7.2,0
7.9,8.1,6.9,7.5,7.8,7.3,7.6,7.0,0
27.7,29.65,31.63,33.27,35.42,36.31,37.18,38.73,1
42.1,43.6,40.1,41.9,43.8,44.3,43.5,43.9,1
